article_id,portal_province,portal_home,title,published_date,excerpt,article_text,source_url,image_url,collected_at
PORTAL_3e037e3641b6,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=2042,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/Thùy Linh/images1439133_a12.jpg,2026-07-19T10:42:27.635912+00:00
PORTAL_9552763d4057,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=2003,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/PHUONG LOAN/THANG 9/25920quanghanh.jpg,2026-07-19T10:42:30.491571+00:00
PORTAL_95c9730f17b9,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=4251,"https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/thang 4/2 Carnaval Hạ Long 2024 Bữa tiệc hấp dẫn, hoành tráng.jpg",2026-07-19T10:42:33.416087+00:00
PORTAL_531d94f05ada,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5898,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2026/thang 5 va 6/1mn7102026Giữ màu xanh cho vịnh Hạ Long.jpg,2026-07-19T10:42:36.266750+00:00
PORTAL_e55911740df5,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5871,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2026/thang 5 va 6/21mn19626Kích cầu du lịch bốn mùa ở Yên Tử.jpg,2026-07-19T10:42:38.947342+00:00
PORTAL_55f5d63253a5,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5838,"https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2026/thang 5 va 6/MN1622526Hành trình hồi sinh, bảo tồn rừng quốc gia Yên Tử1.jpg",2026-07-19T10:42:41.720445+00:00
PORTAL_50760f306e07,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5903,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2026/thang 5 va 6/mnt1614726Khai hội đình - nghè Cẩm Hải năm 2026  1.jpg,2026-07-19T10:42:44.604767+00:00
PORTAL_42583e458c6b,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5657,"https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2026/thang2/mn1411226Tăng cường kiểm tra, giám sát ATTP ngay từ cơ sở1.jpg",2026-07-19T10:42:47.382290+00:00
PORTAL_d0b1b9e7cd38,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5536,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2025/thang 10/1mn1Rộn ràng không khí đón giáng sinh.jpg,2026-07-19T10:42:50.057229+00:00
PORTAL_28c4ee608fb3,Quảng Ninh,https://dulich.quangninh.gov.vn/,Cổng thông tin điện tử,,,"Mr Linh Tôi thật sự rất thích Quảng Ninh. Tài nguyên thiên nhiên phong phú,.",https://dulich.quangninh.gov.vn/Trang/ChiTietTinTuc.aspx?nid=5222,https://media.quangninh.gov.vn/d07e4659-2aae-4343-a2d5-478b67c08003/Libraries/HinhAnhBaiViet/MINH NGUYET/2025/thang 6/mn11072025dungòn là tạo cảm hứng để c12.jpg,2026-07-19T10:42:52.823450+00:00
