destination,period,article_count,total_views,median_views_per_day
Phú Quốc,2020-06,2,7100.0,1.587986697242199
Phú Quốc,2020-07,2,7400.0,1.6797876358415413
Phú Quốc,2020-09,2,5100.0,1.2001090585058987
Phú Quốc,2020-10,2,7300.0,1.7354008436822606
Phú Quốc,2020-11,2,4000.0,0.9675176946410515
Phú Quốc,2020-12,2,2961.0,0.7247538066835463
Phú Quốc,2021-01,3,7000.0,1.25
Phú Quốc,2021-03,1,5900.0,3.0225409836065573
Phú Quốc,2021-04,2,4600.0,1.2044353146709303
Phú Quốc,2021-05,3,6400.0,1.0587612493382743
Phú Quốc,2021-07,3,8098.0,1.0376843255051884
Phú Quốc,2022-07,1,2200.0,1.4915254237288136
Phú Quốc,2022-08,1,1600.0,1.1049723756906078
Phú Quốc,2022-10,1,1100.0,0.8
Phú Quốc,2022-12,1,712.0,0.5493827160493827
Phú Quốc,2023-02,1,1100.0,0.8885298869143781
Phú Quốc,2023-10,1,2100.0,2.1
Phú Quốc,2023-12,1,4000.0,4.287245444801715
Sa Pa,2020-04,1,1300.0,0.5696757230499562
Sa Pa,2020-05,2,10200.0,2.2552887580624623
Sa Pa,2020-07,1,6400.0,2.9263831732967533
Sa Pa,2020-10,1,4400.0,2.1052631578947367
Sa Pa,2020-11,9,41500.0,2.233009708737864
Sa Pa,2020-12,5,24900.0,2.1119842829076623
Sa Pa,2021-01,4,16392.0,2.1368939508415132
Sa Pa,2021-04,3,6200.0,0.575013068478829
Sa Pa,2021-07,1,1000.0,0.547645125958379
Sa Pa,2021-10,1,1500.0,0.8680555555555556
Sa Pa,2021-11,1,4000.0,2.3337222870478413
Sa Pa,2022-06,1,1200.0,0.8102633355840648
Sa Pa,2022-09,4,12700.0,2.5835600946732886
Sa Pa,2022-12,1,994.0,0.7547456340167046
Sa Pa,2023-01,1,796.0,0.6189735614307932
Sa Pa,2023-02,1,1400.0,1.12
Sa Pa,2023-03,1,9100.0,7.545605306799336
TP. Hồ Chí Minh,2020-02,4,24400.0,2.612200085689803
TP. Hồ Chí Minh,2020-03,1,7000.0,3.0316154179298396
TP. Hồ Chí Minh,2020-04,3,32200.0,3.4740545294635004
TP. Hồ Chí Minh,2020-05,4,13400.0,1.2399971756731314
TP. Hồ Chí Minh,2020-07,1,8200.0,3.720508166969147
TP. Hồ Chí Minh,2020-08,1,10200.0,4.741980474198048
TP. Hồ Chí Minh,2020-09,1,3600.0,1.6989145823501652
TP. Hồ Chí Minh,2020-10,3,14400.0,2.271651680075722
TP. Hồ Chí Minh,2020-11,1,6400.0,3.0843373493975905
TP. Hồ Chí Minh,2020-12,3,12600.0,1.9521717911176184
TP. Hồ Chí Minh,2021-01,3,19300.0,2.0367610531544957
TP. Hồ Chí Minh,2021-03,1,5600.0,2.8586013272077593
TP. Hồ Chí Minh,2021-04,5,12900.0,0.8817427385892116
TP. Hồ Chí Minh,2021-05,2,3733.0,0.9917709723514108
TP. Hồ Chí Minh,2021-06,1,2800.0,1.4989293361884368
TP. Hồ Chí Minh,2021-11,2,31700.0,9.336214464410299
TP. Hồ Chí Minh,2022-02,1,8600.0,5.321782178217822
TP. Hồ Chí Minh,2022-06,1,4400.0,2.9709655638082375
TP. Hồ Chí Minh,2022-09,3,3555.0,0.8534850640113798
TP. Hồ Chí Minh,2022-10,1,822.0,0.6030814380044021
TP. Hồ Chí Minh,2022-11,1,1600.0,1.2039127163280663
TP. Hồ Chí Minh,2023-01,1,1000.0,0.7751937984496124
Đà Lạt,2020-03,6,26300.0,1.5585316921393904
Đà Lạt,2020-04,1,1300.0,0.5696757230499562
Đà Lạt,2020-05,3,16300.0,2.3618538324420677
Đà Lạt,2020-06,1,10100.0,4.519015659955257
Đà Lạt,2020-07,5,21900.0,1.6506189821182944
Đà Lạt,2020-10,3,8200.0,1.244019138755981
Đà Lạt,2020-11,5,15500.0,1.3935607880826526
Đà Lạt,2020-12,8,27500.0,1.3215488739594166
Đà Lạt,2021-01,3,15400.0,1.4917951268025857
Đà Lạt,2021-04,1,3800.0,1.9926586261143158
Đà Lạt,2021-05,1,3400.0,1.7904160084254872
Đà Lạt,2021-11,4,3447.0,0.5070598980342975
Đà Lạt,2021-12,2,2600.0,0.7769266592796005
Đà Lạt,2022-02,2,6690.0,2.070532270348623
Đà Lạt,2022-03,1,1800.0,1.1406844106463878
Đà Lạt,2022-08,5,8081.0,0.9715475364330326
Đà Lạt,2022-09,1,1000.0,0.7163323782234957
Đà Lạt,2022-10,1,1500.0,1.0885341074020318
Đà Lạt,2022-11,1,901.0,0.6759189797449362
Đà Lạt,2022-12,2,4400.0,1.6830117051565958
Đà Lạt,2023-01,1,968.0,0.764612954186414
Đà Lạt,2023-02,3,5588.0,0.7563694267515924
Đà Lạt,2023-03,1,4500.0,3.7313432835820897
Đà Lạt,2023-05,1,7100.0,6.099656357388316
Đà Lạt,2023-10,1,5000.0,4.975124378109452
Đà Lạt,2023-12,1,18300.0,19.18238993710692
Đà Lạt,2025-06,1,1100.0,2.7989821882951653
Đà Nẵng,2020-02,1,3600.0,1.5410958904109588
Đà Nẵng,2020-03,3,7000.0,1.0430247718383312
Đà Nẵng,2020-05,6,22300.0,1.7276992540243423
Đà Nẵng,2020-06,6,20000.0,1.3302722814963768
Đà Nẵng,2020-07,4,15200.0,1.4351026040947035
Đà Nẵng,2020-09,1,5100.0,2.407932011331445
Đà Nẵng,2020-11,2,6200.0,1.4910103263657222
Đà Nẵng,2020-12,1,2500.0,1.2201073694485114
Đà Nẵng,2021-01,1,1700.0,0.8411677387431964
Đà Nẵng,2021-03,2,5800.0,1.4927477296446379
Đà Nẵng,2021-06,2,1948.0,0.5223822142394015
Đà Nẵng,2021-08,1,899.0,0.4991671293725708
Đà Nẵng,2021-10,2,2299.0,0.6609294604711453
Đà Nẵng,2021-11,1,1900.0,1.118304885226604
Đà Nẵng,2022-02,1,1800.0,1.1207970112079702
Đà Nẵng,2022-03,1,1100.0,0.6988564167725541
Đà Nẵng,2022-08,1,2000.0,1.389854065323141
Đà Nẵng,2023-02,1,928.0,0.7502021018593371
Đà Nẵng,2023-03,1,5800.0,4.8092868988391375
